site__ YYMMMDD yyyy.yyyy _MJD_______ time____ __east(m)_______ _north(m)________ ____up(m)_______ reflat(deg)_____ reflon(deg)_____ Height(m)_______
950203 96APR21 1996.3032 50194.47119 12:00:00 -3.9359668497E+06 3.1865311840E+06 3.8645628040E+06 3.7533693367E+01 1.4100661138E+02 5.3510578973E+01
950203 96APR22 1996.3060 50195.49600 12:00:00 -3.9359668486E+06 3.1865311823E+06 3.8645628049E+06 3.7533693384E+01 1.4100661139E+02 5.3509601054E+01
950203 96APR23 1996.3087 50196.48419 12:00:00 -3.9359668579E+06 3.1865311935E+06 3.8645628033E+06 3.7533693294E+01 1.4100661135E+02 5.3519946706E+01
950203 96APR24 1996.3114 50197.47240 12:00:00 -3.9359668341E+06 3.1865311914E+06 3.8645628071E+06 3.7533693430E+01 1.4100661120E+02 5.3506545251E+01
950203 96APR25 1996.3142 50198.49720 12:00:00 -3.9359668613E+06 3.1865312008E+06 3.8645628124E+06 3.7533693320E+01 1.4100661131E+02 5.3531228735E+01
950203 96APR26 1996.3169 50199.48539 12:00:00 -3.9359668668E+06 3.1865311869E+06 3.8645628043E+06 3.7533693286E+01 1.4100661148E+02 5.3522748028E+01
950203 96APR27 1996.3196 50200.47360 12:00:00 -3.9359668553E+06 3.1865311957E+06 3.8645627948E+06 3.7533693237E+01 1.4100661132E+02 5.3514263558E+01
950203 96APR28 1996.3224 50201.49839 12:00:00 -3.9359668407E+06 3.1865312072E+06 3.8645628051E+06 3.7533693333E+01 1.4100661111E+02 5.3517278413E+01
950203 96APR29 1996.3251 50202.48660 12:00:00 -3.9359668589E+06 3.1865311888E+06 3.8645628027E+06 3.7533693302E+01 1.4100661140E+02 5.3517852308E+01
950203 96APR30 1996.3278 50203.47479 12:00:00 -3.9359668659E+06 3.1865311778E+06 3.8645627972E+06 3.7533693271E+01 1.4100661155E+02 5.3513327123E+01
950203 96MAY01 1996.3306 50204.49959 12:00:00 -3.9359668687E+06 3.1865312012E+06 3.8645628108E+06 3.7533693275E+01 1.4100661136E+02 5.3535014409E+01
950203 96MAY02 1996.3333 50205.48779 12:00:00 -3.9359668440E+06 3.1865312040E+06 3.8645628019E+06 3.7533693307E+01 1.4100661116E+02 5.3515766049E+01
950203 96MAY03 1996.3360 50206.47600 12:00:00 -3.9359668576E+06 3.1865311973E+06 3.8645628077E+06 3.7533693314E+01 1.4100661132E+02 5.3524338522E+01
950203 96MAY04 1996.3387 50207.46419 12:00:00 -3.9359668654E+06 3.1865311898E+06 3.8645628029E+06 3.7533693272E+01 1.4100661144E+02 5.3522479280E+01
950203 96MAY05 1996.3415 50208.48899 12:00:00 -3.9359668522E+06 3.1865311821E+06 3.8645627966E+06 3.7533693310E+01 1.4100661141E+02 5.3506663457E+01
950203 96MAY06 1996.3442 50209.47720 12:00:00 -3.9359668557E+06 3.1865311797E+06 3.8645628036E+06 3.7533693353E+01 1.4100661146E+02 5.3511887665E+01
950203 96MAY07 1996.3469 50210.46539 12:00:00 -3.9359668702E+06 3.1865311912E+06 3.8645628123E+06 3.7533693314E+01 1.4100661146E+02 5.3531862977E+01
950203 96MAY08 1996.3497 50211.49020 12:00:00 -3.9359668467E+06 3.1865311907E+06 3.8645628118E+06 3.7533693412E+01 1.4100661130E+02 5.3516825104E+01
